MatchID,Season,SeasonStartYear,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Referee,Home_Result_L3,Home_Result_L5,Home_Result_L10,Home_GF_L3,Home_GF_L5,Home_GF_L10,Home_GA_L3,Home_GA_L5,Home_GA_L10,Home_ShotsF_L3,Home_ShotsF_L5,Home_ShotsF_L10,Home_SOTF_L3,Home_SOTF_L5,Home_SOTF_L10,Home_xGF_L3,Home_xGF_L5,Home_xGF_L10,Home_xGA_L3,Home_xGA_L5,Home_xGA_L10,Home_MatchesPlayedPrior,Home_RestDays,Home_MatchesLast14Days,Home_VenueGF_L5,Home_VenueGA_L5,Home_VenueResult_L5,Away_Result_L3,Away_Result_L5,Away_Result_L10,Away_GF_L3,Away_GF_L5,Away_GF_L10,Away_GA_L3,Away_GA_L5,Away_GA_L10,Away_ShotsF_L3,Away_ShotsF_L5,Away_ShotsF_L10,Away_SOTF_L3,Away_SOTF_L5,Away_SOTF_L10,Away_xGF_L3,Away_xGF_L5,Away_xGF_L10,Away_xGA_L3,Away_xGA_L5,Away_xGA_L10,Away_MatchesPlayedPrior,Away_RestDays,Away_MatchesLast14Days,Away_VenueGF_L5,Away_VenueGA_L5,Away_VenueResult_L5,HomeEloPre,AwayEloPre,EloDiffPre
20180818_Leicester_Wolves,2018-19,2018,2018-08-18,Leicester,Wolves,2,0,H,M Dean,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,13.0,13.0,13.0,4.0,4.0,4.0,,,,,,,1,8.0,1,,,,0.5,0.5,0.5,2.0,2.0,2.0,2.0,2.0,2.0,11.0,11.0,11.0,4.0,4.0,4.0,,,,,,,1,7.0,1,,,,1492.8012999960577,1497.1987000039423,-4.397400007884698
20180819_Brighton_ManUnited,2018-19,2018,2018-08-19,Brighton,Man United,3,2,H,K Friend,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,6.0,6.0,6.0,0.0,0.0,0.0,,,,,,,1,8.0,1,,,,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,8.0,8.0,8.0,6.0,6.0,6.0,,,,,,,1,9.0,1,,,,1489.2019499940866,1507.1987000039423,-17.99675000985576
20180819_Burnley_Watford,2018-19,2018,2018-08-19,Burnley,Watford,1,3,A,P Tierney,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,6.0,6.0,6.0,,,,,,,1,7.0,1,,,,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,19.0,19.0,19.0,5.0,5.0,5.0,,,,,,,1,8.0,1,,,,1502.8012999960577,1510.7980500059134,-7.996750009855759
20180819_ManCity_Huddersfield,2018-19,2018,2018-08-19,Man City,Huddersfield,6,1,H,A Marriner,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,17.0,17.0,17.0,8.0,8.0,8.0,,,,,,,1,7.0,1,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,6.0,6.0,6.0,1.0,1.0,1.0,,,,,,,1,8.0,1,,,,1519.2019499940866,1477.597725006899,41.604224987187536
20180820_CrystalPalace_Liverpool,2018-19,2018,2018-08-20,Crystal Palace,Liverpool,0,2,A,M Oliver,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,10.0,10.0,10.0,9.0,9.0,9.0,,,,,,,1,9.0,1,,,,1.0,1.0,1.0,4.0,4.0,4.0,0.0,0.0,0.0,18.0,18.0,18.0,8.0,8.0,8.0,,,,,,,1,8.0,1,,,,1519.2019499940866,1513.4975625073919,5.7043874866947135
20180825_Arsenal_WestHam,2018-19,2018,2018-08-25,Arsenal,West Ham,3,1,H,G Scott,0.0,0.0,0.0,1.081081081081081,1.081081081081081,1.081081081081081,2.5405405405405403,2.5405405405405403,2.5405405405405403,12.243243243243242,12.243243243243242,12.243243243243242,4.621621621621622,4.621621621621622,4.621621621621622,,,,,,,2,7.0,2,0.0,2.0,0.0,0.0,0.0,0.0,0.5405405405405405,0.5405405405405405,0.5405405405405405,2.918918918918919,2.918918918918919,2.918918918918919,8.243243243243242,8.243243243243242,8.243243243243242,3.6216216216216215,3.6216216216216215,3.6216216216216215,,,,,,,2,7.0,2,0.0,4.0,0.0,1474.6621221257005,1474.357331626203,0.3047904994975852
20180825_Huddersfield_Cardiff,2018-19,2018,2018-08-25,Huddersfield,Cardiff,0,0,D,M Oliver,0.0,0.0,0.0,0.5405405405405405,0.5405405405405405,0.5405405405405405,4.621621621621622,4.621621621621622,4.621621621621622,5.459459459459459,5.459459459459459,5.459459459459459,1.0,1.0,1.0,,,,,,,2,6.0,1,0.0,3.0,0.0,0.27027027027027023,0.27027027027027023,0.27027027027027023,0.0,0.0,0.0,0.9189189189189189,0.9189189189189189,0.9189189189189189,11.08108108108108,11.08108108108108,11.08108108108108,1.0,1.0,1.0,,,,,,,2,7.0,1,0.0,2.0,0.0,1465.3258692464735,1486.3476026961341,-21.021733449660587
20180825_Bournemouth_Everton,2018-19,2018,2018-08-25,Bournemouth,Everton,2,2,D,L Probert,1.0,1.0,1.0,2.0,2.0,2.0,0.5405405405405405,0.5405405405405405,0.5405405405405405,11.999999999999998,11.999999999999998,11.999999999999998,4.54054054054054,4.54054054054054,4.54054054054054,,,,,,,2,7.0,1,2.0,0.0,1.0,0.7702702702702703,0.7702702702702703,0.7702702702702703,2.0,2.0,2.0,1.4594594594594594,1.4594594594594594,1.4594594594594594,9.783783783783784,9.783783783783784,9.783783783783784,6.081081081081081,6.081081081081081,6.081081081081081,,,,,,,2,7.0,1,2.0,2.0,0.5,1522.9431558723186,1509.8520794225028,13.091076449815773
20180825_Wolves_ManCity,2018-19,2018,2018-08-25,Wolves,Man City,1,1,D,M Atkinson,0.22972972972972971,0.22972972972972971,0.22972972972972971,0.9189189189189189,0.9189189189189189,0.9189189189189189,2.0,2.0,2.0,11.0,11.0,11.0,3.4594594594594597,3.4594594594594597,3.4594594594594597,,,,,,,2,7.0,1,2.0,2.0,0.5,1.0,1.0,1.0,4.162162162162162,4.162162162162162,4.162162162162162,0.5405405405405405,0.5405405405405405,0.5405405405405405,25.10810810810811,25.10810810810811,25.10810810810811,11.243243243243244,11.243243243243244,11.243243243243244,,,,,,,2,6.0,2,2.0,0.0,1.0,1486.2250840228785,1531.4738057545121,-45.24872173163362
20180825_Southampton_Leicester,2018-19,2018,2018-08-25,Southampton,Leicester,1,2,A,J Moss,0.22972972972972971,0.22972972972972971,0.22972972972972971,0.5405405405405405,0.5405405405405405,0.5405405405405405,1.081081081081081,1.081081081081081,1.081081081081081,16.378378378378375,16.378378378378375,16.378378378378375,3.5405405405405403,3.5405405405405403,3.5405405405405403,,,,,,,2,7.0,2,0.0,0.0,0.5,0.5405405405405405,0.5405405405405405,0.5405405405405405,1.5405405405405406,1.5405405405405406,1.5405405405405406,0.9189189189189189,0.9189189189189189,0.9189189189189189,9.216216216216214,9.216216216216214,9.216216216216214,2.918918918918919,2.918918918918919,2.918918918918919,,,,,,,2,7.0,1,1.0,2.0,0.0,1490.1479205774972,1503.7749159771215,-13.62699539962432
20180825_Liverpool_Brighton,2018-19,2018,2018-08-25,Liverpool,Brighton,1,0,H,C Kavanagh,1.0,1.0,1.0,2.918918918918919,2.918918918918919,2.918918918918919,0.0,0.0,0.0,16.918918918918916,16.918918918918916,16.918918918918916,6.918918918918919,6.918918918918919,6.918918918918919,,,,,,,2,5.0,2,4.0,0.0,1.0,0.5405405405405405,0.5405405405405405,0.5405405405405405,1.6216216216216215,1.6216216216216215,1.6216216216216215,2.0,2.0,2.0,5.999999999999999,5.999999999999999,5.999999999999999,1.6216216216216215,1.6216216216216215,1.6216216216216215,,,,,,,2,6.0,1,0.0,2.0,0.0,1532.9254053093707,1496.884579389995,36.04082591937572
20180826_Fulham_Burnley,2018-19,2018,2018-08-26,Fulham,Burnley,4,2,H,D Coote,0.0,0.0,0.0,0.5405405405405405,0.5405405405405405,0.5405405405405405,2.5405405405405403,2.5405405405405403,2.5405405405405403,12.297297297297296,12.297297297297296,12.297297297297296,4.378378378378378,4.378378378378378,4.378378378378378,,,,,,,2,8.0,1,0.0,2.0,0.0,0.22972972972972971,0.22972972972972971,0.22972972972972971,0.5405405405405405,0.5405405405405405,0.5405405405405405,1.6216216216216215,1.6216216216216215,1.6216216216216215,11.675675675675675,11.675675675675675,11.675675675675675,4.378378378378378,4.378378378378378,4.378378378378378,,,,,,,2,7.0,1,0.0,0.0,0.5,1471.2378269211758,1483.9195126626616,-12.681685741485808
20180826_Newcastle_Chelsea,2018-19,2018,2018-08-26,Newcastle,Chelsea,1,2,A,P Tierney,0.27027027027027023,0.27027027027027023,0.27027027027027023,0.45945945945945943,0.45945945945945943,0.45945945945945943,0.9189189189189189,0.9189189189189189,0.9189189189189189,13.378378378378377,13.378378378378377,13.378378378378377,4.162162162162162,4.162162162162162,4.162162162162162,,,,,,,2,8.0,1,1.0,2.0,0.0,1.0,1.0,1.0,2.9999999999999996,2.9999999999999996,2.9999999999999996,1.081081081081081,1.081081081081081,1.081081081081081,18.945945945945944,18.945945945945944,18.945945945945944,7.783783783783783,7.783783783783783,7.783783783783783,,,,,,,2,8.0,1,3.0,0.0,1.0,1490.0530473018948,1528.5382028733138,-38.485155571419
20180826_Watford_CrystalPalace,2018-19,2018,2018-08-26,Watford,Crystal Palace,2,1,H,A Taylor,1.0,1.0,1.0,2.5405405405405403,2.5405405405405403,2.5405405405405403,0.5405405405405405,0.5405405405405405,0.5405405405405405,13.594594594594593,13.594594594594593,13.594594594594593,5.54054054054054,5.54054054054054,5.54054054054054,,,,,,,2,7.0,1,2.0,0.0,1.0,0.45945945945945943,0.45945945945945943,0.45945945945945943,0.9189189189189189,0.9189189189189189,0.9189189189189189,1.081081081081081,1.081081081081081,1.081081081081081,8.91891891891892,8.91891891891892,8.91891891891892,5.216216216216215,5.216216216216215,5.216216216216215,,,,,,,2,6.0,1,2.0,0.0,1.0,1529.6798373393094,1499.7741071921077,29.905730147201666
20180827_ManUnited_Tottenham,2018-19,2018,2018-08-27,Man United,Tottenham,0,3,A,C Pawson,0.45945945945945943,0.45945945945945943,0.45945945945945943,2.0,2.0,2.0,2.081081081081081,2.081081081081081,2.081081081081081,8.54054054054054,8.54054054054054,8.54054054054054,4.378378378378378,4.378378378378378,4.378378378378378,,,,,,,2,8.0,1,2.0,1.0,1.0,1.0,1.0,1.0,2.5405405405405403,2.5405405405405403,2.5405405405405403,1.0,1.0,1.0,20.405405405405403,20.405405405405403,20.405405405405403,8.243243243243242,8.243243243243242,8.243243243243242,,,,,,,2,9.0,1,2.0,1.0,1.0,1499.516070608034,1522.3615230807952,-22.84545247276128
