MatchID,Fuzzy_HomeWinPotential,Fuzzy_DrawPotential,Fuzzy_AwayWinPotential,Fuzzy_HomeGoalPotential,Fuzzy_AwayGoalPotential,Fuzzy_Over25Potential,Fuzzy_Under25Potential,Fuzzy_P_HomeWin,Fuzzy_P_Draw,Fuzzy_P_AwayWin,Fuzzy_P_Over25,Fuzzy_P_Under25
20180810_ManUnited_Leicester,50.0,66.82177419354838,19.18421052631579,50.0,50.0,50.0,50.0,0.36763088111884623,0.49131495449397544,0.14105416438717838,0.5,0.5
20180811_Bournemouth_Cardiff,50.0,66.82177419354838,19.18421052631579,50.0,50.0,50.0,50.0,0.36763088111884623,0.49131495449397544,0.14105416438717838,0.5,0.5
20180811_Fulham_CrystalPalace,50.0,66.82177419354838,19.18421052631579,50.0,50.0,50.0,50.0,0.36763088111884623,0.49131495449397544,0.14105416438717838,0.5,0.5
20180811_Huddersfield_Chelsea,50.0,66.82177419354838,19.18421052631579,50.0,50.0,50.0,50.0,0.36763088111884623,0.49131495449397544,0.14105416438717838,0.5,0.5
20180811_Newcastle_Tottenham,50.0,66.82177419354838,19.18421052631579,50.0,50.0,50.0,50.0,0.36763088111884623,0.49131495449397544,0.14105416438717838,0.5,0.5
20180811_Watford_Brighton,50.0,66.82177419354838,19.18421052631579,50.0,50.0,50.0,50.0,0.36763088111884623,0.49131495449397544,0.14105416438717838,0.5,0.5
20180811_Wolves_Everton,50.0,66.82177419354838,19.18421052631579,50.0,50.0,50.0,50.0,0.36763088111884623,0.49131495449397544,0.14105416438717838,0.5,0.5
20180812_Arsenal_ManCity,50.0,66.82177419354838,19.18421052631579,50.0,50.0,50.0,50.0,0.36763088111884623,0.49131495449397544,0.14105416438717838,0.5,0.5
20180812_Liverpool_WestHam,50.0,66.82177419354838,19.18421052631579,50.0,50.0,50.0,50.0,0.36763088111884623,0.49131495449397544,0.14105416438717838,0.5,0.5
20180812_Southampton_Burnley,50.0,66.82177419354838,19.18421052631579,50.0,50.0,50.0,50.0,0.36763088111884623,0.49131495449397544,0.14105416438717838,0.5,0.5
20180818_Everton_Southampton,50.0,66.82177419354838,19.18421052631579,50.0,50.0,50.0,50.0,0.36763088111884623,0.49131495449397544,0.14105416438717838,0.5,0.5
20180818_Cardiff_Newcastle,50.0,66.82177419354838,19.18421052631579,50.0,50.0,79.83950617283949,49.99999999999999,0.36763088111884623,0.49131495449397544,0.14105416438717838,0.6149091946372539,0.38509080536274604
20180818_Chelsea_Arsenal,70.33637134945464,45.11625592270152,19.18421052631579,80.8157894736842,19.18421052631579,30.398134863701582,50.0,0.5224155030641467,0.33509592664551996,0.14248857029033346,0.3780950256524649,0.6219049743475351
20180818_Tottenham_Fulham,69.8824945477879,46.494506930464944,19.18421052631579,79.83950617283949,21.76763110307414,36.29638916750251,50.0,0.5155050881769392,0.3429779524905546,0.14151695933250621,0.420601481911957,0.579398518088043
20180818_WestHam_Bournemouth,30.388604269219954,46.78039765823161,52.89117530974524,19.18421052631579,79.83950617283949,30.398134863701582,50.0,0.2336503372112037,0.3596827149705941,0.40666694781820223,0.3780950256524649,0.6219049743475351
20180818_Leicester_Wolves,30.73104103237078,46.819609815652484,50.47583172680326,50.0,79.83950617283949,67.71929824561404,50.0,0.2400365956661324,0.36570253961549115,0.3942608647183764,0.5752608047690015,0.4247391952309985
20180819_Brighton_ManUnited,30.548205868033236,46.798621202206,52.08275858364776,21.76763110307414,79.83950617283949,36.29638916750251,50.0,0.23602181613810816,0.3615759176371941,0.4024022662246978,0.420601481911957,0.579398518088043
20180819_Burnley_Watford,30.70271129766865,46.81634981130963,50.88214548071965,19.18421052631579,79.83950617283949,19.18421052631579,50.0,0.23911544223862485,0.364609890006017,0.3962746677553582,0.27729174591099276,0.7227082540890072
20180819_ManCity_Huddersfield,70.33637134945464,45.11625592270152,19.18421052631579,79.83950617283949,19.18421052631579,30.398134863701582,50.0,0.5224155030641467,0.33509592664551996,0.14248857029033346,0.3780950256524649,0.6219049743475351
20180820_CrystalPalace_Liverpool,50.0,66.82177419354838,19.18421052631579,79.83950617283949,80.8157894736842,50.0,50.0,0.36763088111884623,0.49131495449397544,0.14105416438717838,0.5,0.5
20180825_Arsenal_WestHam,50.0,50.0,21.51562390010792,50.0,50.0,80.8157894736842,50.00000000000001,0.4114697221248073,0.4114697221248073,0.17706055575038535,0.6177831422249044,0.38221685777509556
20180825_Huddersfield_Cardiff,32.55985492351931,49.99999999999999,31.94820425150489,20.663383866327322,50.0,20.663383866327322,50.0,0.2843455312935831,0.4366504887099308,0.279003979996486,0.2924199597547703,0.7075800402452297
20180825_Bournemouth_Everton,50.0,50.0,19.383033906963178,67.71929824561404,77.5870133540592,50.0,50.0,0.41881998106167817,0.41881998106167817,0.1623600378766437,0.5,0.5
20180825_Wolves_ManCity,29.453195219243693,44.536032305620864,55.83837874561584,20.663383866327322,80.8157894736842,33.389719561772196,50.0,0.2268638856198385,0.34303977085455406,0.4300963435256074,0.40040570632976236,0.5995942936702376
20180825_Southampton_Leicester,34.901510830705654,65.41318388338077,31.90670751928508,20.663383866327322,49.99999999999999,20.663383866327322,50.00000000000001,0.26396264327241287,0.4947246268643116,0.24131272986327562,0.29241995975477025,0.7075800402452296
20180825_Liverpool_Brighton,68.14889097074678,31.851109029253216,20.173873045078192,80.8157894736842,50.0,50.0,50.0,0.5670857503709111,0.2650418782567289,0.16787237137235986,0.5,0.5
20180826_Fulham_Burnley,31.005773477946796,50.0,31.66474085842399,50.0,50.0,75.5368052078117,50.0,0.2751897748987015,0.44377182703478324,0.28103839806651526,0.6017104313174868,0.3982895686825132
20180826_Newcastle_Chelsea,29.829458828827267,29.829458828827267,54.84814539449747,22.933286680662466,79.77585010409439,22.933286680662466,50.00000000000001,0.2605032216680075,0.2605032216680075,0.47899355666398497,0.3144419746373914,0.6855580253626086
20180826_Watford_CrystalPalace,69.800648388187,30.199351611813007,19.18421052631579,73.35267087880528,20.663383866327322,20.663383866327322,50.00000000000001,0.5856534861450885,0.25338382893550326,0.16096268491940827,0.29241995975477025,0.7075800402452296
20180827_ManUnited_Tottenham,30.428527880299793,30.428527880299793,52.702310040356394,50.0,80.8157894736842,50.0,50.0,0.26795260492766537,0.26795260492766537,0.4640947901446692,0.5,0.5
20180901_CrystalPalace_Southampton,50.0,50.0,19.8094231209074,50.00000000000001,50.0,50.0,50.00000000000001,0.41732944452575976,0.41732944452575976,0.16534111094848056,0.5,0.5000000000000001
20180901_Everton_Huddersfield,70.61220249903597,30.465085506536244,19.886054899917024,79.83950617283949,50.0,55.03125113629055,50.0,0.5837487688663375,0.2518538655990943,0.16439736553456813,0.5239512101486914,0.4760487898513086
20180901_Brighton_Fulham,41.53603221243623,50.0,25.63535181996769,50.0,51.0482899249235,60.85933749399895,49.99999999999998,0.3544895586532406,0.4267253511844874,0.218785090162272,0.5489780010393207,0.45102199896067924
20180901_Chelsea_Bournemouth,49.99999999999999,49.99999999999999,19.742044750518236,72.63136333514066,71.0887467573984,50.0,49.99999999999999,0.41756427413758196,0.41756427413758196,0.16487145172483617,0.5,0.49999999999999994
20180901_Leicester_Liverpool,49.87073409225724,49.99999999999999,31.91896811882289,50.0,78.2015972372113,50.0,50.00000000000001,0.37841146353287985,0.37939231336844376,0.24219622309867642,0.5,0.5000000000000001
20180901_ManCity_Newcastle,71.20315280730465,28.79684719269536,19.18421052631579,65.83859723206817,19.18421052631579,19.18421052631579,50.0,0.5974210215671398,0.2416162935134519,0.16096268491940827,0.27729174591099276,0.7227082540890072
20180901_WestHam_Wolves,36.355585831232645,43.9228131071721,35.37395295941644,50.0,50.0,75.5,50.00000000000001,0.31435232604134844,0.3797831378818642,0.30586453607678743,0.601593625498008,0.39840637450199207
20180902_Burnley_ManUnited,34.53696060653475,49.99999999999999,29.960638715569385,50.0,50.0,72.63136333514066,50.0,0.30163916807876057,0.4366903786282909,0.2616704532929486,0.5922739612430596,0.4077260387569404
20180902_Cardiff_Arsenal,45.34900247026897,66.83063733826305,22.689893842294303,50.0,50.0,50.0,50.0,0.3362434883750421,0.4955206378283016,0.16823587379665628,0.5,0.5
20180902_Watford_Tottenham,47.46934612727037,50.0,21.02270574006238,80.8157894736842,80.8157894736842,50.0,50.0,0.4006120695793037,0.4219692309487686,0.17741869947192773,0.5,0.5
20180915_Chelsea_Cardiff,70.17818003431385,29.821819965686156,19.18421052631579,69.44278140682822,19.18421052631579,19.18421052631579,50.0,0.5888211175323308,0.2502161975482609,0.16096268491940824,0.27729174591099276,0.7227082540890072
20180915_Bournemouth_Leicester,59.574817502433284,53.6444175577031,19.41020680101883,50.0,50.00000000000001,50.00000000000001,50.00000000000001,0.4491824489829334,0.40446839559093845,0.14634915542612814,0.5,0.5
20180915_Tottenham_Liverpool,54.75850270184481,47.42548153365174,32.37478665400135,50.0,74.39128039377304,50.0,50.00000000000001,0.406948594579639,0.3524518039229,0.24059960149746096,0.5,0.5000000000000001
20180915_Huddersfield_CrystalPalace,47.846785559873396,49.99999999999999,21.043021584964432,50.0,50.0,75.5,50.0,0.40244648981206543,0.4205574994253911,0.17699601076254348,0.601593625498008,0.398406374501992
20180915_Watford_ManUnited,70.33867290808325,29.661327091916743,19.33697308278314,72.16405030848566,50.0,50.0,50.0,0.589412242417862,0.24855102593678916,0.16203673164534874,0.5,0.5
20180915_ManCity_Fulham,68.27269311811094,31.72730688188909,20.60009690825899,80.8157894736842,50.0,50.0,50.0,0.5661081115883866,0.263078618469305,0.1708132699423083,0.5,0.5
20180915_Newcastle_Arsenal,31.84648702305008,31.84648702305008,50.77451054944841,50.0,49.99999999999999,50.0,50.0,0.27821426438760527,0.27821426438760527,0.4435714712247895,0.5,0.5
20180916_Everton_WestHam,71.3969056875443,31.557265863135182,19.18421052631579,76.32343472437546,50.0,50.0,50.0,0.5845574869539055,0.25837304642894054,0.15706946661715385,0.5,0.5
20180916_Wolves_Burnley,67.83913161318117,48.37525570643512,20.489296691507505,50.0,23.301728630294985,23.301728630294985,50.000000000000014,0.4962494764051931,0.3538694370701725,0.14988108652463422,0.3178878461082372,0.6821121538917627
20180917_Southampton_Brighton,49.99999999999999,49.99999999999999,19.577144478344824,50.0,50.00000000000001,49.99999999999999,49.99999999999999,0.4181401071093055,0.4181401071093055,0.16371978578138907,0.5,0.5
20180922_Brighton_Tottenham,38.0325234900818,53.9065190534112,29.675384808796586,50.0,70.04335531524933,49.99999999999999,50.0,0.3127303587090876,0.4432575988476775,0.24401204244323482,0.49999999999999994,0.5
20180922_Burnley_Bournemouth,27.072881018124765,29.720229790774976,59.7909870090594,50.0,79.88190152507424,50.0,50.0,0.23221761393563178,0.2549252457842217,0.5128571402801466,0.5,0.5
20180922_Cardiff_ManCity,25.86608180453096,30.207541891619837,61.9273606540223,19.18421052631579,80.8157894736842,30.6468488609619,50.0,0.21920225451486258,0.25599398223643316,0.5248037632487043,0.38001297377158755,0.6199870262284125
20180922_CrystalPalace_Newcastle,55.02301362279081,44.97698637720918,20.234969637234972,50.0,24.3865567894731,24.3865567894731,49.99999999999999,0.4576290391123533,0.3740757494505199,0.16829521143712672,0.3278355369840723,0.6721644630159277
20180922_Fulham_Watford,33.085648054203986,48.844861472664356,51.18255759752018,49.999999999999986,78.7404772489539,49.99999999999999,50.0,0.24855296905815302,0.36694264904151674,0.38450438190033026,0.49999999999999994,0.5
20180922_Leicester_Huddersfield,50.00000000000001,65.06366489740815,20.808594851879338,75.6649859798862,50.0,76.79036596218448,50.0,0.3679927020589808,0.4788590770291456,0.15314822091187347,0.6056482712975794,0.39435172870242063
20180922_Liverpool_Southampton,70.49434249383107,29.505657506168927,19.18421052631579,69.71979894292578,50.0,50.0,50.0,0.5914738385439569,0.24756347653663482,0.16096268491940827,0.5,0.5
20180922_ManUnited_Wolves,45.64408800607018,64.17391948612033,22.746935683915485,50.0,50.0,50.0,50.0,0.3443149215206486,0.4840941952569499,0.17159088322240143,0.5,0.5
20180923_Arsenal_Everton,50.0,67.58071513913173,19.717598212302576,76.50055383565432,50.00000000000001,58.07488059627515,50.0,0.3641705333409157,0.49221810151556195,0.14361136514352232,0.5373578048466215,0.46264219515337845
20180923_WestHam_Chelsea,25.298932144625866,30.36132027162358,62.67286773330198,24.263386321575684,80.8157894736842,47.0369595822237,50.0,0.2137941779330473,0.25657499974016085,0.5296308223267918,0.48473241314168763,0.5152675868583124
