Match Number,Round Number,Date,Location,Home Team,Away Team,Result,SeasonStartYear,Season
29,3,26/08/2018 13:30,Vicarage Road,Watford,Crystal Palace,2 - 1,2018,2018-19
23,3,26/08/2018 16:00,Craven Cottage,Fulham,Burnley,4 - 2,2018,2018-19
27,3,26/08/2018 16:00,St. James' Park,Newcastle,Chelsea,1 - 2,2018,2018-19
26,3,27/08/2018 20:00,Old Trafford,Man United,Tottenham,0 - 3,2018,2018-19
37,4,01/09/2018 12:30,King Power Stadium,Leicester,Liverpool,1 - 2,2018,2018-19
31,4,01/09/2018 15:00,Amex Stadium,Brighton,Fulham,2 - 2,2018,2018-19
34,4,01/09/2018 15:00,Stamford Bridge,Chelsea,Bournemouth,2 - 0,2018,2018-19
35,4,01/09/2018 15:00,Selhurst Park,Crystal Palace,Southampton,0 - 2,2018,2018-19
36,4,01/09/2018 15:00,Goodison Park,Everton,Huddersfield,1 - 1,2018,2018-19
40,4,01/09/2018 15:00,London Stadium,West Ham,Wolves,0 - 1,2018,2018-19
38,4,01/09/2018 17:30,Etihad Stadium,Man City,Newcastle,2 - 1,2018,2018-19
33,4,02/09/2018 13:30,Cardiff City Stadium,Cardiff,Arsenal,2 - 3,2018,2018-19
32,4,02/09/2018 16:00,Turf Moor,Burnley,Man United,0 - 2,2018,2018-19
39,4,02/09/2018 16:00,Vicarage Road,Watford,Tottenham,2 - 1,2018,2018-19
48,5,15/09/2018 12:30,Wembley Stadium,Tottenham,Liverpool,1 - 2,2018,2018-19
41,5,15/09/2018 15:00,Vitality Stadium,Bournemouth,Leicester,4 - 2,2018,2018-19
42,5,15/09/2018 15:00,Stamford Bridge,Chelsea,Cardiff,4 - 1,2018,2018-19
44,5,15/09/2018 15:00,John Smith's Stadium,Huddersfield,Crystal Palace,0 - 1,2018,2018-19
45,5,15/09/2018 15:00,Etihad Stadium,Man City,Fulham,3 - 0,2018,2018-19
46,5,15/09/2018 15:00,St. James' Park,Newcastle,Arsenal,1 - 2,2018,2018-19
49,5,15/09/2018 17:30,Vicarage Road,Watford,Man United,1 - 2,2018,2018-19
50,5,16/09/2018 13:30,Molineux Stadium,Wolves,Burnley,1 - 0,2018,2018-19
43,5,16/09/2018 16:00,Goodison Park,Everton,West Ham,1 - 3,2018,2018-19
47,5,17/09/2018 20:00,St. Mary's Stadium,Southampton,Brighton,2 - 2,2018,2018-19
56,6,22/09/2018 12:30,Craven Cottage,Fulham,Watford,1 - 1,2018,2018-19
53,6,22/09/2018 15:00,Turf Moor,Burnley,Bournemouth,4 - 0,2018,2018-19
54,6,22/09/2018 15:00,Cardiff City Stadium,Cardiff,Man City,0 - 5,2018,2018-19
55,6,22/09/2018 15:00,Selhurst Park,Crystal Palace,Newcastle,0 - 0,2018,2018-19
57,6,22/09/2018 15:00,King Power Stadium,Leicester,Huddersfield,3 - 1,2018,2018-19
58,6,22/09/2018 15:00,Anfield,Liverpool,Southampton,3 - 0,2018,2018-19
59,6,22/09/2018 15:00,Old Trafford,Man United,Wolves,1 - 1,2018,2018-19
52,6,22/09/2018 17:30,Amex Stadium,Brighton,Tottenham,1 - 2,2018,2018-19
60,6,23/09/2018 13:30,London Stadium,West Ham,Chelsea,0 - 0,2018,2018-19
51,6,23/09/2018 16:00,Emirates Stadium,Arsenal,Everton,2 - 0,2018,2018-19
69,7,29/09/2018 12:30,London Stadium,West Ham,Man United,3 - 1,2018,2018-19
61,7,29/09/2018 15:00,Emirates Stadium,Arsenal,Watford,2 - 0,2018,2018-19
65,7,29/09/2018 15:00,Goodison Park,Everton,Fulham,3 - 0,2018,2018-19
66,7,29/09/2018 15:00,John Smith's Stadium,Huddersfield,Tottenham,0 - 2,2018,2018-19
67,7,29/09/2018 15:00,Etihad Stadium,Man City,Brighton,2 - 0,2018,2018-19
68,7,29/09/2018 15:00,St. James' Park,Newcastle,Leicester,0 - 2,2018,2018-19
70,7,29/09/2018 15:00,Molineux Stadium,Wolves,Southampton,2 - 0,2018,2018-19
64,7,29/09/2018 17:30,Stamford Bridge,Chelsea,Liverpool,1 - 1,2018,2018-19
63,7,30/09/2018 16:00,Cardiff City Stadium,Cardiff,Burnley,1 - 2,2018,2018-19
62,7,01/10/2018 20:00,Vitality Stadium,Bournemouth,Crystal Palace,2 - 1,2018,2018-19
71,8,05/10/2018 20:00,Amex Stadium,Brighton,West Ham,1 - 0,2018,2018-19
72,8,06/10/2018 15:00,Turf Moor,Burnley,Huddersfield,1 - 1,2018,2018-19
73,8,06/10/2018 15:00,Selhurst Park,Crystal Palace,Wolves,0 - 1,2018,2018-19
75,8,06/10/2018 15:00,King Power Stadium,Leicester,Everton,1 - 2,2018,2018-19
79,8,06/10/2018 15:00,Wembley Stadium,Tottenham,Cardiff,1 - 0,2018,2018-19
80,8,06/10/2018 15:00,Vicarage Road,Watford,Bournemouth,0 - 4,2018,2018-19
77,8,06/10/2018 17:30,Old Trafford,Man United,Newcastle,3 - 2,2018,2018-19
74,8,07/10/2018 12:00,Craven Cottage,Fulham,Arsenal,1 - 5,2018,2018-19
78,8,07/10/2018 14:15,St. Mary's Stadium,Southampton,Chelsea,0 - 3,2018,2018-19
76,8,07/10/2018 16:30,Anfield,Liverpool,Man City,0 - 0,2018,2018-19
84,9,20/10/2018 12:30,Stamford Bridge,Chelsea,Man United,2 - 2,2018,2018-19
82,9,20/10/2018 15:00,Vitality Stadium,Bournemouth,Southampton,0 - 0,2018,2018-19
83,9,20/10/2018 15:00,Cardiff City Stadium,Cardiff,Fulham,4 - 2,2018,2018-19
87,9,20/10/2018 15:00,Etihad Stadium,Man City,Burnley,5 - 0,2018,2018-19
88,9,20/10/2018 15:00,St. James' Park,Newcastle,Brighton,0 - 1,2018,2018-19
89,9,20/10/2018 15:00,London Stadium,West Ham,Tottenham,0 - 1,2018,2018-19
90,9,20/10/2018 15:00,Molineux Stadium,Wolves,Watford,0 - 2,2018,2018-19
86,9,20/10/2018 17:30,John Smith's Stadium,Huddersfield,Liverpool,0 - 1,2018,2018-19
85,9,21/10/2018 16:00,Goodison Park,Everton,Crystal Palace,2 - 0,2018,2018-19
81,9,22/10/2018 20:00,Emirates Stadium,Arsenal,Leicester,3 - 1,2018,2018-19
91,10,27/10/2018 15:00,Amex Stadium,Brighton,Wolves,1 - 0,2018,2018-19
94,10,27/10/2018 15:00,Craven Cottage,Fulham,Bournemouth,0 - 3,2018,2018-19
96,10,27/10/2018 15:00,Anfield,Liverpool,Cardiff,4 - 1,2018,2018-19
98,10,27/10/2018 15:00,St. Mary's Stadium,Southampton,Newcastle,0 - 0,2018,2018-19
100,10,27/10/2018 15:00,Vicarage Road,Watford,Huddersfield,3 - 0,2018,2018-19
95,10,27/10/2018 17:30,King Power Stadium,Leicester,West Ham,1 - 1,2018,2018-19
92,10,28/10/2018 13:30,Turf Moor,Burnley,Chelsea,0 - 4,2018,2018-19
93,10,28/10/2018 13:30,Selhurst Park,Crystal Palace,Arsenal,2 - 2,2018,2018-19
97,10,28/10/2018 16:00,Old Trafford,Man United,Everton,2 - 1,2018,2018-19
99,10,29/10/2018 20:00,Wembley Stadium,Tottenham,Man City,0 - 1,2018,2018-19
102,11,03/11/2018 12:30,Vitality Stadium,Bournemouth,Man United,1 - 2,2018,2018-19
103,11,03/11/2018 15:00,Cardiff City Stadium,Cardiff,Leicester,0 - 1,2018,2018-19
105,11,03/11/2018 15:00,Goodison Park,Everton,Brighton,3 - 1,2018,2018-19
108,11,03/11/2018 15:00,St. James' Park,Newcastle,Watford,1 - 0,2018,2018-19
109,11,03/11/2018 15:00,London Stadium,West Ham,Burnley,4 - 2,2018,2018-19
101,11,03/11/2018 17:30,Emirates Stadium,Arsenal,Liverpool,1 - 1,2018,2018-19
110,11,03/11/2018 19:45,Molineux Stadium,Wolves,Tottenham,2 - 3,2018,2018-19
107,11,04/11/2018 15:00,Etihad Stadium,Man City,Southampton,6 - 1,2018,2018-19
104,11,04/11/2018 16:00,Stamford Bridge,Chelsea,Crystal Palace,3 - 1,2018,2018-19
106,11,05/11/2018 20:00,John Smith's Stadium,Huddersfield,Fulham,1 - 0,2018,2018-19
112,12,10/11/2018 12:30,Cardiff City Stadium,Cardiff,Brighton,2 - 1,2018,2018-19
115,12,10/11/2018 15:00,John Smith's Stadium,Huddersfield,West Ham,1 - 1,2018,2018-19
116,12,10/11/2018 15:00,King Power Stadium,Leicester,Burnley,0 - 0,2018,2018-19
119,12,10/11/2018 15:00,St. James' Park,Newcastle,Bournemouth,2 - 1,2018,2018-19
120,12,10/11/2018 15:00,St. Mary's Stadium,Southampton,Watford,1 - 1,2018,2018-19
114,12,10/11/2018 17:30,Selhurst Park,Crystal Palace,Tottenham,0 - 1,2018,2018-19
117,12,11/11/2018 12:00,Anfield,Liverpool,Fulham,2 - 0,2018,2018-19
113,12,11/11/2018 14:15,Stamford Bridge,Chelsea,Everton,0 - 0,2018,2018-19
111,12,11/11/2018 16:30,Emirates Stadium,Arsenal,Wolves,1 - 1,2018,2018-19
118,12,11/11/2018 16:30,Etihad Stadium,Man City,Man United,3 - 1,2018,2018-19
122,13,24/11/2018 15:00,Amex Stadium,Brighton,Leicester,1 - 1,2018,2018-19
124,13,24/11/2018 15:00,Goodison Park,Everton,Cardiff,1 - 0,2018,2018-19
125,13,24/11/2018 15:00,Craven Cottage,Fulham,Southampton,3 - 2,2018,2018-19
126,13,24/11/2018 15:00,Old Trafford,Man United,Crystal Palace,0 - 0,2018,2018-19
128,13,24/11/2018 15:00,Vicarage Road,Watford,Liverpool,0 - 3,2018,2018-19
129,13,24/11/2018 15:00,London Stadium,West Ham,Man City,0 - 4,2018,2018-19
127,13,24/11/2018 17:30,Tottenham Hotspur Stadium,Tottenham,Chelsea,3 - 1,2018,2018-19
121,13,25/11/2018 13:30,Vitality Stadium,Bournemouth,Arsenal,1 - 2,2018,2018-19
130,13,25/11/2018 16:00,Molineux Stadium,Wolves,Huddersfield,0 - 2,2018,2018-19
123,13,26/11/2018 20:30,Turf Moor,Burnley,Newcastle,1 - 2,2018,2018-19
132,14,30/11/2018 20:00,Cardiff City Stadium,Cardiff,Wolves,2 - 1,2018,2018-19
134,14,01/12/2018 15:00,Selhurst Park,Crystal Palace,Burnley,2 - 0,2018,2018-19
135,14,01/12/2018 15:00,John Smith's Stadium,Huddersfield,Brighton,1 - 2,2018,2018-19
136,14,01/12/2018 15:00,King Power Stadium,Leicester,Watford,2 - 0,2018,2018-19
138,14,01/12/2018 15:00,Etihad Stadium,Man City,Bournemouth,3 - 1,2018,2018-19
139,14,01/12/2018 15:00,St. James' Park,Newcastle,West Ham,0 - 3,2018,2018-19
140,14,01/12/2018 17:30,St. Mary's Stadium,Southampton,Man United,2 - 2,2018,2018-19
133,14,02/12/2018 12:00,Stamford Bridge,Chelsea,Fulham,2 - 0,2018,2018-19
131,14,02/12/2018 14:05,Emirates Stadium,Arsenal,Tottenham,4 - 2,2018,2018-19
137,14,02/12/2018 16:15,Anfield,Liverpool,Everton,1 - 0,2018,2018-19
141,15,04/12/2018 19:45,Vitality Stadium,Bournemouth,Huddersfield,2 - 1,2018,2018-19
142,15,04/12/2018 19:45,Amex Stadium,Brighton,Crystal Palace,3 - 1,2018,2018-19
146,15,04/12/2018 19:45,London Stadium,West Ham,Cardiff,3 - 1,2018,2018-19
145,15,04/12/2018 20:00,Vicarage Road,Watford,Man City,1 - 2,2018,2018-19
143,15,05/12/2018 19:45,Turf Moor,Burnley,Liverpool,1 - 3,2018,2018-19
144,15,05/12/2018 19:45,Craven Cottage,Fulham,Leicester,1 - 1,2018,2018-19
147,15,05/12/2018 19:45,Molineux Stadium,Wolves,Chelsea,2 - 1,2018,2018-19
149,15,05/12/2018 19:45,Goodison Park,Everton,Newcastle,1 - 1,2018,2018-19
148,15,05/12/2018 20:00,Old Trafford,Man United,Arsenal,2 - 2,2018,2018-19
150,15,05/12/2018 20:00,Tottenham Hotspur Stadium,Tottenham,Southampton,3 - 1,2018,2018-19
152,16,08/12/2018 12:30,Vitality Stadium,Bournemouth,Liverpool,0 - 4,2018,2018-19
151,16,08/12/2018 15:00,Emirates Stadium,Arsenal,Huddersfield,1 - 0,2018,2018-19
153,16,08/12/2018 15:00,Turf Moor,Burnley,Brighton,1 - 0,2018,2018-19
154,16,08/12/2018 15:00,Cardiff City Stadium,Cardiff,Southampton,1 - 0,2018,2018-19
158,16,08/12/2018 15:00,Old Trafford,Man United,Fulham,4 - 1,2018,2018-19
160,16,08/12/2018 15:00,London Stadium,West Ham,Crystal Palace,3 - 2,2018,2018-19
155,16,08/12/2018 17:30,Stamford Bridge,Chelsea,Man City,2 - 0,2018,2018-19
157,16,08/12/2018 19:45,King Power Stadium,Leicester,Tottenham,0 - 2,2018,2018-19
159,16,09/12/2018 16:00,St. James' Park,Newcastle,Wolves,1 - 2,2018,2018-19
156,16,10/12/2018 20:00,Goodison Park,Everton,Watford,2 - 2,2018,2018-19
166,17,15/12/2018 12:30,Etihad Stadium,Man City,Everton,3 - 1,2018,2018-19
162,17,15/12/2018 15:00,Selhurst Park,Crystal Palace,Leicester,1 - 0,2018,2018-19
164,17,15/12/2018 15:00,John Smith's Stadium,Huddersfield,Newcastle,0 - 1,2018,2018-19
168,17,15/12/2018 15:00,Tottenham Hotspur Stadium,Tottenham,Burnley,1 - 0,2018,2018-19
169,17,15/12/2018 15:00,Vicarage Road,Watford,Cardiff,3 - 2,2018,2018-19
170,17,15/12/2018 15:00,Molineux Stadium,Wolves,Bournemouth,2 - 0,2018,2018-19
163,17,15/12/2018 17:30,Craven Cottage,Fulham,West Ham,0 - 2,2018,2018-19
161,17,16/12/2018 13:30,Amex Stadium,Brighton,Chelsea,1 - 2,2018,2018-19
167,17,16/12/2018 13:30,St. Mary's Stadium,Southampton,Arsenal,3 - 2,2018,2018-19
165,17,16/12/2018 16:00,Anfield,Liverpool,Man United,3 - 1,2018,2018-19
180,18,21/12/2018 20:00,Molineux Stadium,Wolves,Liverpool,0 - 2,2018,2018-19
171,18,22/12/2018 12:30,Emirates Stadium,Arsenal,Burnley,3 - 1,2018,2018-19
172,18,22/12/2018 15:00,Vitality Stadium,Bournemouth,Brighton,2 - 0,2018,2018-19
174,18,22/12/2018 15:00,Stamford Bridge,Chelsea,Leicester,0 - 1,2018,2018-19
176,18,22/12/2018 15:00,John Smith's Stadium,Huddersfield,Southampton,1 - 3,2018,2018-19
177,18,22/12/2018 15:00,Etihad Stadium,Man City,Crystal Palace,2 - 3,2018,2018-19
178,18,22/12/2018 15:00,St. James' Park,Newcastle,Fulham,0 - 0,2018,2018-19
179,18,22/12/2018 15:00,London Stadium,West Ham,Watford,0 - 2,2018,2018-19
173,18,22/12/2018 17:30,Cardiff City Stadium,Cardiff,Man United,1 - 5,2018,2018-19
175,18,23/12/2018 16:00,Goodison Park,Everton,Tottenham,2 - 6,2018,2018-19
184,19,26/12/2018 12:30,Craven Cottage,Fulham,Wolves,1 - 1,2018,2018-19
182,19,26/12/2018 15:00,Turf Moor,Burnley,Everton,1 - 5,2018,2018-19
183,19,26/12/2018 15:00,Selhurst Park,Crystal Palace,Cardiff,0 - 0,2018,2018-19
185,19,26/12/2018 15:00,King Power Stadium,Leicester,Man City,2 - 1,2018,2018-19
186,19,26/12/2018 15:00,Anfield,Liverpool,Newcastle,4 - 0,2018,2018-19
187,19,26/12/2018 15:00,Old Trafford,Man United,Huddersfield,3 - 1,2018,2018-19
189,19,26/12/2018 15:00,Tottenham Hotspur Stadium,Tottenham,Bournemouth,5 - 0,2018,2018-19
181,19,26/12/2018 17:15,Amex Stadium,Brighton,Arsenal,1 - 1,2018,2018-19
190,19,26/12/2018 19:30,Vicarage Road,Watford,Chelsea,1 - 2,2018,2018-19
188,19,27/12/2018 19:45,St. Mary's Stadium,Southampton,West Ham,1 - 2,2018,2018-19
191,20,29/12/2018 15:00,Amex Stadium,Brighton,Everton,1 - 0,2018,2018-19
194,20,29/12/2018 15:00,Craven Cottage,Fulham,Huddersfield,1 - 0,2018,2018-19
195,20,29/12/2018 15:00,King Power Stadium,Leicester,Cardiff,0 - 1,2018,2018-19
199,20,29/12/2018 15:00,Tottenham Hotspur Stadium,Tottenham,Wolves,1 - 3,2018,2018-19
200,20,29/12/2018 15:00,Vicarage Road,Watford,Newcastle,1 - 1,2018,2018-19
196,20,29/12/2018 17:30,Anfield,Liverpool,Arsenal,5 - 1,2018,2018-19
193,20,30/12/2018 12:00,Selhurst Park,Crystal Palace,Chelsea,0 - 1,2018,2018-19
192,20,30/12/2018 14:15,Turf Moor,Burnley,West Ham,2 - 0,2018,2018-19
198,20,30/12/2018 14:15,St. Mary's Stadium,Southampton,Man City,1 - 3,2018,2018-19
197,20,30/12/2018 16:30,Old Trafford,Man United,Bournemouth,4 - 1,2018,2018-19
205,21,01/01/2019 12:30,Goodison Park,Everton,Leicester,0 - 1,2018,2018-19
201,21,01/01/2019 15:00,Emirates Stadium,Arsenal,Fulham,4 - 1,2018,2018-19
203,21,01/01/2019 17:30,Cardiff City Stadium,Cardiff,Tottenham,0 - 3,2018,2018-19
202,21,02/01/2019 19:45,Vitality Stadium,Bournemouth,Watford,3 - 3,2018,2018-19
204,21,02/01/2019 19:45,Stamford Bridge,Chelsea,Southampton,0 - 0,2018,2018-19
206,21,02/01/2019 19:45,John Smith's Stadium,Huddersfield,Burnley,1 - 2,2018,2018-19
209,21,02/01/2019 19:45,London Stadium,West Ham,Brighton,2 - 2,2018,2018-19
210,21,02/01/2019 19:45,Molineux Stadium,Wolves,Crystal Palace,0 - 2,2018,2018-19
208,21,02/01/2019 20:00,St. James' Park,Newcastle,Man United,0 - 2,2018,2018-19
207,21,03/01/2019 20:00,Etihad Stadium,Man City,Liverpool,2 - 1,2018,2018-19
220,22,12/01/2019 12:30,London Stadium,West Ham,Arsenal,1 - 0,2018,2018-19
211,22,12/01/2019 15:00,Amex Stadium,Brighton,Liverpool,0 - 1,2018,2018-19
212,22,12/01/2019 15:00,Turf Moor,Burnley,Fulham,2 - 1,2018,2018-19
213,22,12/01/2019 15:00,Cardiff City Stadium,Cardiff,Huddersfield,0 - 0,2018,2018-19
215,22,12/01/2019 15:00,Selhurst Park,Crystal Palace,Watford,1 - 2,2018,2018-19
217,22,12/01/2019 15:00,King Power Stadium,Leicester,Southampton,1 - 2,2018,2018-19
214,22,12/01/2019 17:30,Stamford Bridge,Chelsea,Newcastle,2 - 1,2018,2018-19
216,22,13/01/2019 14:15,Goodison Park,Everton,Bournemouth,2 - 0,2018,2018-19
219,22,13/01/2019 16:03,Tottenham Hotspur Stadium,Tottenham,Man United,0 - 1,2018,2018-19
218,22,14/01/2019 20:00,Etihad Stadium,Man City,Wolves,3 - 0,2018,2018-19
230,23,19/01/2019 12:30,Molineux Stadium,Wolves,Leicester,4 - 3,2018,2018-19
222,23,19/01/2019 15:00,Vitality Stadium,Bournemouth,West Ham,2 - 0,2018,2018-19
225,23,19/01/2019 15:00,Anfield,Liverpool,Crystal Palace,4 - 3,2018,2018-19
226,23,19/01/2019 15:00,Old Trafford,Man United,Brighton,2 - 1,2018,2018-19
227,23,19/01/2019 15:00,St. James' Park,Newcastle,Cardiff,3 - 0,2018,2018-19
228,23,19/01/2019 15:00,St. Mary's Stadium,Southampton,Everton,2 - 1,2018,2018-19
229,23,19/01/2019 15:00,Vicarage Road,Watford,Burnley,0 - 0,2018,2018-19
221,23,19/01/2019 17:30,Emirates Stadium,Arsenal,Chelsea,2 - 0,2018,2018-19
224,23,20/01/2019 13:30,John Smith's Stadium,Huddersfield,Man City,0 - 3,2018,2018-19
223,23,20/01/2019 16:00,Craven Cottage,Fulham,Tottenham,1 - 2,2018,2018-19
231,24,29/01/2019 19:45,Emirates Stadium,Arsenal,Cardiff,2 - 1,2018,2018-19
233,24,29/01/2019 19:45,Craven Cottage,Fulham,Brighton,4 - 2,2018,2018-19
234,24,29/01/2019 19:45,John Smith's Stadium,Huddersfield,Everton,0 - 1,2018,2018-19
235,24,29/01/2019 19:45,Molineux Stadium,Wolves,West Ham,3 - 0,2018,2018-19
236,24,29/01/2019 20:00,Old Trafford,Man United,Burnley,2 - 2,2018,2018-19
237,24,29/01/2019 20:00,St. James' Park,Newcastle,Man City,2 - 1,2018,2018-19
232,24,30/01/2019 19:45,Vitality Stadium,Bournemouth,Chelsea,4 - 0,2018,2018-19
238,24,30/01/2019 19:45,St. Mary's Stadium,Southampton,Crystal Palace,1 - 1,2018,2018-19
239,24,30/01/2019 20:00,Anfield,Liverpool,Leicester,1 - 1,2018,2018-19
240,24,30/01/2019 20:00,Tottenham Hotspur Stadium,Tottenham,Watford,2 - 1,2018,2018-19
249,25,02/02/2019 12:30,Tottenham Hotspur Stadium,Tottenham,Newcastle,1 - 0,2018,2018-19
241,25,02/02/2019 15:00,Amex Stadium,Brighton,Watford,0 - 0,2018,2018-19
242,25,02/02/2019 15:00,Turf Moor,Burnley,Southampton,1 - 1,2018,2018-19
244,25,02/02/2019 15:00,Stamford Bridge,Chelsea,Huddersfield,5 - 0,2018,2018-19
245,25,02/02/2019 15:00,Selhurst Park,Crystal Palace,Fulham,2 - 0,2018,2018-19
246,25,02/02/2019 15:00,Goodison Park,Everton,Wolves,1 - 3,2018,2018-19
243,25,02/02/2019 17:30,Cardiff City Stadium,Cardiff,Bournemouth,2 - 0,2018,2018-19
247,25,03/02/2019 14:05,King Power Stadium,Leicester,Man United,0 - 1,2018,2018-19
248,25,03/02/2019 16:30,Etihad Stadium,Man City,Arsenal,3 - 1,2018,2018-19
250,25,04/02/2019 20:00,London Stadium,West Ham,Liverpool,1 - 1,2018,2018-19
266,26,06/02/2019 19:45,Goodison Park,Everton,Man City,0 - 2,2018,2018-19
253,26,09/02/2019 12:30,Craven Cottage,Fulham,Man United,0 - 3,2018,2018-19
252,26,09/02/2019 15:00,Selhurst Park,Crystal Palace,West Ham,1 - 1,2018,2018-19
254,26,09/02/2019 15:00,John Smith's Stadium,Huddersfield,Arsenal,1 - 2,2018,2018-19
255,26,09/02/2019 15:00,Anfield,Liverpool,Bournemouth,3 - 0,2018,2018-19
257,26,09/02/2019 15:00,St. Mary's Stadium,Southampton,Cardiff,1 - 2,2018,2018-19
259,26,09/02/2019 15:00,Vicarage Road,Watford,Everton,1 - 0,2018,2018-19
251,26,09/02/2019 17:30,Amex Stadium,Brighton,Burnley,1 - 3,2018,2018-19
258,26,10/02/2019 13:30,Tottenham Hotspur Stadium,Tottenham,Leicester,3 - 1,2018,2018-19
256,26,10/02/2019 16:00,Etihad Stadium,Man City,Chelsea,6 - 0,2018,2018-19
260,26,11/02/2019 20:00,Molineux Stadium,Wolves,Newcastle,1 - 1,2018,2018-19
264,27,22/02/2019 19:45,Cardiff City Stadium,Cardiff,Watford,1 - 5,2018,2018-19
270,27,22/02/2019 19:45,London Stadium,West Ham,Fulham,3 - 1,2018,2018-19
263,27,23/02/2019 12:30,Turf Moor,Burnley,Tottenham,2 - 1,2018,2018-19
262,27,23/02/2019 15:00,Vitality Stadium,Bournemouth,Wolves,1 - 1,2018,2018-19
269,27,23/02/2019 15:00,St. James' Park,Newcastle,Huddersfield,2 - 0,2018,2018-19
267,27,23/02/2019 17:30,King Power Stadium,Leicester,Crystal Palace,1 - 4,2018,2018-19
261,27,24/02/2019 14:05,Emirates Stadium,Arsenal,Southampton,2 - 0,2018,2018-19
268,27,24/02/2019 14:05,Old Trafford,Man United,Liverpool,0 - 0,2018,2018-19
272,28,26/02/2019 19:45,Cardiff City Stadium,Cardiff,Everton,0 - 3,2018,2018-19
273,28,26/02/2019 19:45,John Smith's Stadium,Huddersfield,Wolves,1 - 0,2018,2018-19
274,28,26/02/2019 19:45,King Power Stadium,Leicester,Brighton,2 - 1,2018,2018-19
277,28,26/02/2019 20:00,St. James' Park,Newcastle,Burnley,2 - 0,2018,2018-19
271,28,27/02/2019 19:45,Emirates Stadium,Arsenal,Bournemouth,5 - 1,2018,2018-19
278,28,27/02/2019 19:45,St. Mary's Stadium,Southampton,Fulham,2 - 0,2018,2018-19
275,28,27/02/2019 20:00,Selhurst Park,Crystal Palace,Man United,1 - 3,2018,2018-19
276,28,27/02/2019 20:00,Stamford Bridge,Chelsea,Tottenham,2 - 0,2018,2018-19
279,28,27/02/2019 20:00,Anfield,Liverpool,Watford,5 - 0,2018,2018-19
280,28,27/02/2019 20:00,Etihad Stadium,Man City,West Ham,1 - 0,2018,2018-19
287,29,02/03/2019 12:30,Tottenham Hotspur Stadium,Tottenham,Arsenal,1 - 1,2018,2018-19
281,29,02/03/2019 15:00,Vitality Stadium,Bournemouth,Man City,0 - 1,2018,2018-19
282,29,02/03/2019 15:00,Amex Stadium,Brighton,Huddersfield,1 - 0,2018,2018-19
283,29,02/03/2019 15:00,Turf Moor,Burnley,Crystal Palace,1 - 3,2018,2018-19
286,29,02/03/2019 15:00,Old Trafford,Man United,Southampton,3 - 2,2018,2018-19
290,29,02/03/2019 15:00,Molineux Stadium,Wolves,Cardiff,2 - 0,2018,2018-19
289,29,02/03/2019 17:30,London Stadium,West Ham,Newcastle,2 - 0,2018,2018-19
288,29,03/03/2019 12:00,Vicarage Road,Watford,Leicester,2 - 1,2018,2018-19
