Match Number,Round Number,Date,Location,Home Team,Away Team,Result,SeasonStartYear,Season
6,1,10/08/2018 20:00,Old Trafford,Man United,Leicester,2 - 1,2018,2018-19
7,1,11/08/2018 12:30,St. James' Park,Newcastle,Tottenham,1 - 2,2018,2018-19
2,1,11/08/2018 15:00,Vitality Stadium,Bournemouth,Cardiff,2 - 0,2018,2018-19
3,1,11/08/2018 15:00,Craven Cottage,Fulham,Crystal Palace,0 - 2,2018,2018-19
4,1,11/08/2018 15:00,John Smith's Stadium,Huddersfield,Chelsea,0 - 3,2018,2018-19
9,1,11/08/2018 15:00,Vicarage Road,Watford,Brighton,2 - 0,2018,2018-19
10,1,11/08/2018 17:30,Molineux Stadium,Wolves,Everton,2 - 2,2018,2018-19
5,1,12/08/2018 13:30,Anfield,Liverpool,West Ham,4 - 0,2018,2018-19
8,1,12/08/2018 13:30,St. Mary's Stadium,Southampton,Burnley,0 - 0,2018,2018-19
1,1,12/08/2018 16:00,Emirates Stadium,Arsenal,Man City,0 - 2,2018,2018-19
13,2,18/08/2018 12:30,Cardiff City Stadium,Cardiff,Newcastle,0 - 0,2018,2018-19
16,2,18/08/2018 15:00,Goodison Park,Everton,Southampton,2 - 1,2018,2018-19
17,2,18/08/2018 15:00,King Power Stadium,Leicester,Wolves,2 - 0,2018,2018-19
19,2,18/08/2018 15:00,Wembley Stadium,Tottenham,Fulham,3 - 1,2018,2018-19
20,2,18/08/2018 15:00,London Stadium,West Ham,Bournemouth,1 - 2,2018,2018-19
14,2,18/08/2018 17:30,Stamford Bridge,Chelsea,Arsenal,3 - 2,2018,2018-19
12,2,19/08/2018 13:30,Turf Moor,Burnley,Watford,1 - 3,2018,2018-19
18,2,19/08/2018 13:30,Etihad Stadium,Man City,Huddersfield,6 - 1,2018,2018-19
11,2,19/08/2018 16:00,Amex Stadium,Brighton,Man United,3 - 2,2018,2018-19
15,2,20/08/2018 20:00,Selhurst Park,Crystal Palace,Liverpool,0 - 2,2018,2018-19
30,3,25/08/2018 12:30,Molineux Stadium,Wolves,Man City,1 - 1,2018,2018-19
21,3,25/08/2018 15:00,Emirates Stadium,Arsenal,West Ham,3 - 1,2018,2018-19
22,3,25/08/2018 15:00,Vitality Stadium,Bournemouth,Everton,2 - 2,2018,2018-19
24,3,25/08/2018 15:00,John Smith's Stadium,Huddersfield,Cardiff,0 - 0,2018,2018-19
28,3,25/08/2018 15:00,St. Mary's Stadium,Southampton,Leicester,1 - 2,2018,2018-19
25,3,25/08/2018 17:30,Anfield,Liverpool,Brighton,1 - 0,2018,2018-19
